,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,Cape Town,ZA,66.2,77,20,14.99,-33.93,18.42
1,Pitangui,BR,80.59,58,64,4.47,-19.68,-44.89
2,Saint-Francois,FR,57.2,44,0,18.34,46.42,3.91
3,Longyearbyen,NO,10.4,60,0,20.8,78.22,15.63
4,Ushuaia,AR,48.2,93,75,4.7,-54.81,-68.31
5,Abnub,EG,73.4,28,0,14.99,27.27,31.15
6,Dikson,RU,-6.78,75,20,5.53,73.51,80.55
7,Niquero,CU,78.92,94,0,7.49,20.04,-77.58
8,Quatre Cocos,MU,80.6,83,75,6.93,-20.21,57.76
9,Bambous Virieux,MU,80.6,83,75,6.93,-20.34,57.76
10,Manicore,BR,84.28,75,8,2.35,-5.81,-61.3
11,Castro,CL,84.2,66,75,4.18,-42.48,-73.76
12,Narsaq,GL,30.12,81,36,5.86,60.91,-46.05
13,Qaanaaq,GL,2.85,84,0,6.53,77.48,-69.36
14,Berlevag,NO,30.2,74,75,24.16,70.86,29.09
15,Hermanus,ZA,65.85,89,64,4.63,-34.42,19.24
16,Kutum,SD,61.73,16,0,9.17,14.2,24.66
17,Victoria,BN,78.8,88,75,1.12,5.28,115.24
18,Arraial do Cabo,BR,89.6,66,75,3.36,-22.97,-42.02
19,Bay Roberts,CA,39.2,51,20,35.57,47.58,-53.28
20,West Bay,GB,51.8,93,40,10.29,50.71,-2.76
21,Mezen,RU,30.59,79,92,12.3,65.85,44.24
22,Bathsheba,BB,84.2,70,20,16.11,13.22,-59.52
23,Port Elizabeth,US,46.4,70,90,6.93,39.31,-74.98
24,Bredasdorp,ZA,66.2,82,80,1.12,-34.53,20.04
25,Malartic,CA,30.2,42,75,12.75,48.14,-78.13
26,Jaypur,IN,64.88,84,0,2.8,23.05,87.44
27,Mar del Plata,AR,75.32,41,64,26.96,-46.43,-67.52
28,Jamestown,AU,45.42,90,0,4.18,-33.21,138.6
29,Valparaiso,US,42.8,33,90,11.41,41.47,-87.06
30,Albany,US,44.6,36,40,6.93,42.65,-73.75
31,Hofn,IS,30.03,100,80,9.1,64.25,-15.21
32,Caravelas,BR,81.26,100,0,13.76,-17.73,-39.27
33,Mafra,PT,59,87,75,14.99,38.94,-9.33
34,Ponta do Sol,BR,71.81,91,44,3.36,-20.63,-46
35,Port Alfred,ZA,71.23,89,64,10.4,-33.59,26.89
36,Saint-Pierre,FR,57.2,76,0,5.82,48.95,4.24
37,Sisimiut,GL,24.02,87,0,2.13,66.94,-53.67
38,Maragogi,BR,77.71,95,56,6.38,-9.01,-35.22
39,Georgetown,GY,77,94,75,3.36,6.8,-58.16
40,Belyy Yar,RU,21.2,67,68,4.47,53.6,91.39
41,Mangan,IN,26.14,80,12,1.68,27.5,88.54
42,Aleksandrov Gay,RU,34.73,87,0,12.64,50.14,48.57
43,Mahajanga,MG,77,94,75,2.24,-15.72,46.32
44,Pimentel,BR,86.19,77,64,4.18,-3.7,-45.5
45,Kruisfontein,ZA,70.17,90,44,17.72,-34,24.73
46,Bonavista,CA,35.25,80,8,20.74,48.65,-53.11
47,Grand Gaube,MU,80.6,83,75,6.93,-20.01,57.66
48,Sao Filipe,CV,69.65,98,20,18.01,14.9,-24.5
49,Vilhena,BR,82.4,65,75,6.93,-12.74,-60.15
50,Puerto Berrio,CO,84.5,71,76,3.36,6.49,-74.4
51,Weston,US,39.2,69,90,1.9,41.2,-73.38
52,Hithadhoo,MV,85.11,100,76,9.1,-0.6,73.08
53,Imbituba,BR,78.8,83,75,9.17,-28.24,-48.67
54,Ribeira Grande,PT,59,67,20,24.16,38.52,-28.7
55,Carnarvon,ZA,65.49,71,44,7.2,-30.97,22.13
56,Carutapera,BR,80.99,86,80,7.38,-1.2,-46.02
57,Upernavik,GL,23.19,93,8,13.13,72.79,-56.15
58,Touros,BR,85.02,77,64,12.91,-5.2,-35.46
59,Vagur,FO,37.48,100,36,16.33,61.47,-6.81
60,Kanata,CA,41,55,75,5.82,45.32,-75.9
61,Monte Alegre,BR,80,87,80,2.01,-2,-54.07
62,Watsa,CD,67.4,97,32,2.8,3.04,29.53
63,Saint Anthony,US,46.4,52,90,27.51,43.97,-111.68
64,Yar-Sale,RU,1.05,73,56,15.26,66.83,70.83
65,Cap Malheureux,MU,80.6,83,75,6.93,-19.98,57.61
66,Cidreira,BR,70.17,100,88,9.66,-30.17,-50.22
67,Nguruka,TZ,66.01,100,64,2.8,-5.11,31.04
68,Souillac,FR,60.8,63,0,9.17,45.6,-0.6
69,Kozluk,TR,51.8,71,75,8.05,38.17,41.5
70,Muros,ES,51.8,87,75,16.11,42.77,-9.06
71,Zyryanskoye,RU,24.79,90,76,10.74,56.83,86.62
72,Bilma,NE,68.66,30,0,6.6,18.69,12.92
73,Dawlatabad,AF,50.03,79,12,2.68,36.41,64.91
74,Torbay,CA,39.2,51,20,35.57,47.66,-52.73
75,Xuddur,SO,68.21,95,32,4.03,4.12,43.89
76,Ondo,NG,77.53,81,8,4.47,7.1,4.83
77,Vardo,US,48.2,65,90,9.17,39.62,-77.74
78,Scarborough,GB,46.4,100,88,4.7,54.28,-0.41
79,Hun,BE,53.6,76,20,13.87,50.34,4.87
80,Las Tablas,PA,88.96,45,20,12.08,7.77,-80.28
81,Annau,TM,53.6,58,75,6.93,37.89,58.52
82,Vestmannaeyjar,IS,33.8,100,90,17.22,63.44,-20.27
83,Pozo Colorado,PY,80.86,62,92,8.95,-23.49,-58.8
84,Coihaique,CL,66.2,59,75,4.7,-45.58,-72.07
85,Nizwa,OM,63.71,53,0,2.8,22.93,57.53
